"Record ID","Title","Subject","Institution","Journal","Publisher","Country","RetractionDate","RetractionDOI","RetractionPubMedID","OriginalPaperDate","OriginalPaperDOI","OriginalPaperPubMedID","Reason","Notes","Year"
63847,"A credit scoring ensemble model incorporating fuzzy clustering particle swarm optimization algorithm","(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;","School of Mathematics and Statistics, Changchun University of Technology, Changchun, China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2025-04-17,"10.1177/10641246251331509",0,"9/8/2023 0:00","10.3233/jifs-233334",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Paper Mill;Unreliable Results and/or Conclusions;",NA,"2025"
63845,"A consistency-based approach to group decision making with uncertain multiplicative linguistic fuzzy preference relations","(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(PHY) Statistics;","School of Business, Central South University, Changsha, China; School of Management Science and Engineering, Nanjing University of Information Science and Technology, Nanjing, China; School of Management, Beifang University of Nationalities, Yinchuan, China; School of International Audit, Nanjing Audit University, Nanjing, China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2025-04-17,"10.1177/10641246251331509",0,"7/27/2018 0:00","10.3233/JIFS-17365",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;",NA,"2025"
63834,"A consensus reaching process dealing with comparative linguistic expressions for group decision making: A fuzzy approach","(B/T) Data Science;(SOC) Communications;","Department of Computer Science, University of Jaén, Jaén, Spain;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","Spain",2025-04-17,"10.1177/10641246251331509",0,"9/30/2019 0:00","10.3233/jifs-179445",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;",NA,"2025"
63833,"A consensus approach to multi-granular linguistic MCGDM with hesitant fuzzy linguistic information by using projection","(B/T) Computer Science;(B/T) Technology;","School of Business, Central South University, Changsha, PR China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2025-04-17,"10.1177/10641246251331509",0,"3/22/2018 0:00","10.3233/JIFS-171629",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;",NA,"2025"
63832,"A connectivity index based on adjacent vertices in cubic fuzzy graph with an application","(PHY) Mathematics;","Institute of Computing Science and Technology, Guangzhou University, Guangzhou, China School of Computer Science of Information Technology, Qiannan Normal University for Nationalities, Duyun, China; Department of Mathematics, University of Mazandaran, Babolsar, Iran; Department of Computer engineering and information, College of Engineering in Wadi Alddawasir, Prince Sattam Bin Abdulaziz University, Wadi Alddawasir, Saudi Arabia; Department of Mathematics, Prince Sattam bin Abdulaziz University, Al-Kharj, Saudi Arabia;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China;Iran;Saudi Arabia",2025-04-17,"10.1177/10641246251331509",0,"3/12/2024 0:00","10.3233/jifs-238021",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;",NA,"2025"
63823,"A citation analysis of fuzzy research by universities and countries","(B/T) Data Science;(B/T) International Relations;","Facultad de Contaduría y Ciencias Administrativas, Universidad Michoacana de San Nicolás de Hidalgo, Morelia, México; Department of Management Control and Information Systems, School of Economics and Business, University of Chile, Santiago, Chile; School of Information, Systems and Modelling, University of Technology Sydney, NSW, Australia; Facultad de Economia, Universidad Autónoma de San Luis Potosí, San Luis Potosí, México; Facultat d’Economia i Empresa, Universitat de Barcelona, Barcelona, Spain; Andalusian Research Institute on Data Science and Computational Intelligence, University of Granada, Granada, Spain;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","Australia;Chile;Mexico;Spain",2025-04-17,"10.1177/10641246251331509",0,"1/22/2020 0:00","10.3233/jifs-179629",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;","ACM information page for the original article: https://dl.acm.org/doi/10.3233/JIFS-179629 See also: https://pubpeer.com/publications/E2457D25485D57910E3A6682D27E4B","2025"
63802,"Possibility Fermatean fuzzy soft set and its application in decision-making","(PHY) Mathematics;","School of Mathematics and Statistics, Central South University, Changsha, Hunan, P.R. China; Department of Mathematics, Faculty of Science, Al-Azhar University, Assiut, Egypt;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China;Egypt",2024-08-23,"10.3233/JIFS-219433",0,"10/7/2022 0:00","10.3233/jifs-221614",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63778,"Parkinson’s disease identification in homo sapiens based on hybrid ResNet-SVM and resnet-fuzzy svm models","(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Neurology;","Department of Information Science and Technology, Anna University, Chennai, Tamil Nadu, India; School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamil Nadu, India;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","India",2024-08-23,"10.3233/JIFS-219433",0,"3/25/2022 0:00","10.3233/jifs-220271",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63777,"Pandemic management by using sentiment analysis and trapezoidal type-2 fuzzy linguistic intuitionistic fuzzy matrix games","(B/T) Data Science;(HSC) Public Health and Safety;","College of Science, Chongqing University of Posts and Telecommunications Nanan, Chongqing, P.R. China; School of Mathematics and Information Science, Guangxi University, Nanning, Guangxi, P.R. China;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","China",2024-08-23,"10.3233/JIFS-219433",0,"2/22/2024 0:00","10.3233/jifs-237319",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
63773,"Ordered semihyperrings characterized in terms of multipolar fuzzy hyperideals","(PHY) Mathematics;","Department of Mathematics, Karadeniz Technical University, Trabzon, Turkey; Department of Mathematics and Physics, Faculty of Military Technology, University of Defence, Brno, Czech Republic; Department of Mathematical Sciences, Yazd University, Yazd, Iran;","Journal of Intelligent & Fuzzy Systems","IOS Press (bought by Sage November 2023)","Czech Republic;Iran;Turkey",2024-08-23,"10.3233/JIFS-219433",0,"3/26/2024 0:00","10.3233/jifs-238654",0,"Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;",NA,"2024"
